base,feature,steerage,question,mean_score,text
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.2,8,6.354191090611262,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.1,0,2.2625798542813986,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.1,1,1.44152084529638,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.1,2,4.20076216716769,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.1,3,1.232621812285711,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.1,4,3.240986033245198,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.1,5,1.0368152416779943,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.1,6,6.103175511584728,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.1,7,4.734995313773509,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,-0.1,8,6.455471288554942,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.0,0,2.4893327609375597,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.0,1,1.2896268654824001,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.0,2,4.455773655925545,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.0,3,1.215269238380271,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.0,4,3.596951467266684,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.0,5,1.0296054437163156,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.0,6,6.184293286239697,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.0,7,4.682197639971171,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.0,8,6.51859562000638,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.1,0,2.770665775638671,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.1,1,1.218268418442603,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.1,2,4.88837432986955,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.1,3,1.2356365303652106,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.1,4,4.03748328361021,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.1,5,1.0233951141053492,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.1,6,6.27554869411026,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.1,7,4.773964962002546,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.1,8,6.6298259873923575,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.2,0,3.024332941164906,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.2,1,1.1557406558176309,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.2,2,5.359866337336137,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.2,3,1.2989257457220582,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.2,4,4.4754097130779815,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.2,5,1.025134321368188,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.2,6,6.389277880982304,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.2,7,4.770113721303933,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.2,8,6.725651905725344,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.3,0,3.4005166647184377,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.3,1,1.153926573865956,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.3,2,5.814729717870511,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.3,3,1.4329398202143933,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.3,4,5.056348536057258,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.3,5,1.0504285228919374,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.3,6,6.555884276125943,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.3,7,4.790523716969903,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.3,8,6.870559858616591,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.5,0,5.028583436735563,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.5,1,1.5829097850117846,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.5,2,6.3792656162339565,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.5,3,2.282539642812104,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.5,4,6.376261072126563,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.5,5,1.5722007891863894,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.5,6,6.687968805612878,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.5,7,5.311355800675762,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Moral and ethical correctness,0.5,8,6.928592735881865,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.5,0,2.2551663072036745,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.5,1,1.3872286555629043,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.5,2,3.3578572418409247,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.5,3,1.3344199816830247,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.5,4,2.6923914292123228,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.5,5,1.035028740884108,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.5,6,5.768483647093334,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.5,7,4.7301944349979195,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.5,8,6.38652572965129,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.3,0,2.19858075310462,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.3,1,1.1744659440205776,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.3,2,3.595677665085166,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.3,3,1.1430551909040636,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.3,4,2.552930307277367,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.3,5,1.0107634427470222,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.3,6,5.931752572316409,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.3,7,4.654885704213951,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.3,8,6.551077704875262,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.2,0,2.27010586495747,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.2,1,1.151055823152746,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.2,2,3.8283854732001545,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.2,3,1.1288645290143497,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.2,4,2.6867193774953297,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.2,5,1.0108644736631114,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.2,6,6.0593715907361965,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.2,7,4.696363889646446,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.2,8,6.641296891333706,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.1,0,2.350655551267602,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.1,1,1.206865069894874,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.1,2,4.168853497903169,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.1,3,1.150731052641617,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.1,4,3.018530609382277,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.1,5,1.014451958029096,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.1,6,6.13743759946678,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.1,7,4.715941034427879,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,-0.1,8,6.590009554759087,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.0,0,2.4893327609375597,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.0,1,1.2896268654824001,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.0,2,4.455773655925545,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.0,3,1.215269238380271,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.0,4,3.596951467266684,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.0,5,1.0296054437163156,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.0,6,6.184293286239697,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.0,7,4.682197639971171,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.0,8,6.51859562000638,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.1,0,2.657529535041246,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.1,1,1.5088180224588585,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.1,2,4.844115644186734,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.1,3,1.477013350564404,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.1,4,4.197679586935495,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.1,5,1.0790106793928635,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.1,6,6.199166015624012,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.1,7,4.816376419303925,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.1,8,6.447334078209314,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.2,0,3.009924420287124,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.2,1,1.7957917261413252,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.2,2,5.0883738733146116,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.2,3,1.747654532621907,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.2,4,4.687863299025409,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.2,5,1.1428074777186197,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.2,6,6.186769896070139,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.2,7,4.779439608528834,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.2,8,6.400930541899411,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.3,0,3.5291026302636435,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.3,1,1.9956567619499865,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.3,2,5.287859095674261,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.3,3,1.903058704223497,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.3,4,5.099867139851266,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.3,5,1.2615984882493292,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.3,6,6.18862793507785,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.3,7,4.829756616929057,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.3,8,6.301640675803716,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.5,0,4.546072076992028,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.5,1,2.359057186209499,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.5,2,5.786213766059902,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.5,3,2.373050348174643,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.5,4,5.867892086081522,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.5,5,1.6039739090385017,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.5,6,6.283841454497988,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.5,7,4.971796408675085,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Abstract moral and ethical concepts,0.5,8,6.431975531195291,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.5,0,3.2591972551755597,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.5,1,1.2889576703914911,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.5,2,6.8630996638915045,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.5,3,1.1243855571277612,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.5,4,6.683645818746443,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.5,5,1.0182100370844482,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.5,6,6.811551853778594,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.5,7,3.904482721224641,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.5,8,6.9509194808939085,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.3,0,2.2525130021991866,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.3,1,1.0177905519674482,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.3,2,6.3918660004445735,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.3,3,1.0183448170493676,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.3,4,5.237051176996625,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.3,5,1.00384380254995,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.3,6,6.633449661088621,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.3,7,3.274126526333296,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.3,8,6.827347992822473,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.2,0,2.096862984298008,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.2,1,1.0224594473789197,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.2,2,5.641754891346535,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.2,3,1.0260051419405827,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.2,4,4.471376938576492,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.2,5,1.0043182096065768,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.2,6,6.490503018512895,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.2,7,3.7140305079378866,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.2,8,6.680077489727851,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.1,0,2.174962249096496,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.1,1,1.0511967416872732,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.1,2,4.799418991409202,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.1,3,1.0677844190838819,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.1,4,3.9781067047539813,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.1,5,1.0070624711518192,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.1,6,6.307596025278953,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.1,7,4.185914593792057,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,-0.1,8,6.569229812024959,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.0,0,2.4893327609375597,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.0,1,1.2896268654824001,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.0,2,4.455773655925545,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.0,3,1.215269238380271,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.0,4,3.596951467266684,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.0,5,1.0296054437163156,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.0,6,6.184293286239697,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.0,7,4.682197639971171,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.0,8,6.51859562000638,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.1,0,3.336428527963736,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.1,1,3.7908045519504308,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.1,2,4.733611242999639,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.1,3,2.188433327745188,2
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.1,4,3.3848486332589687,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.1,5,1.9079847837413462,1
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.1,6,6.188348877734637,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.1,7,5.684051798815928,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.1,8,6.59992317401589,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.2,0,5.295360342179819,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.2,1,5.963207769019111,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.2,2,5.766843141415747,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.2,3,5.381106372453692,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.2,4,3.622023701546009,4
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.2,5,5.735384267744979,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.2,6,6.347813866109011,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.2,7,6.496187399725369,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.2,8,6.735899865179661,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.3,0,6.82435203624227,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.3,1,6.694866842262146,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.3,2,6.73380865050445,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.3,3,6.502731882879435,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.3,4,5.003188560017209,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.3,5,6.723307686852419,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.3,6,6.646412943826294,6
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.3,7,6.849334259850371,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.3,8,6.896604274940042,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.5,0,6.972371523285327,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.5,1,6.873449036596806,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.5,2,6.960009378109135,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.5,3,6.831389838062867,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.5,4,6.990300659734338,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.5,5,6.9045133644698655,7
meta-llama/Meta-Llama-3.1-70B-Instruct,Character acknowledging moral necessity or ethical obligation,0.5,6,6.968988348272451,7
